,code,name,cl,clname,gxsj
0,600313,农发种业,1,策略4----高于50(向上趋势中) d50,202007112220
1,600313,农发种业,1,策略3----macd红柱 yhz,202007112220
2,600361,华联综超,1,策略3----macd红柱 yhz,202007112220
3,002571,德力股份,1,策略1----背驰8 bc8,202007112220
4,002571,德力股份,1,策略3----macd红柱 yhz,202007112220
5,600366,宁波韵升,1,策略4----高于50(向上趋势中) d50,202007112220
6,600366,宁波韵升,1,策略3----macd红柱 yhz,202007112220
7,002706,良信电器,1,策略4----高于50(向上趋势中) d50,202007112220
8,002706,良信电器,1,策略3----macd红柱 yhz,202007112220
9,002227,奥 特 迅,1,策略4----高于50(向上趋势中) d50,202007112220
10,002227,奥 特 迅,1,策略3----macd红柱 yhz,202007112220
11,603997,继峰股份,1,策略4----高于50(向上趋势中) d50,202007112220
12,603997,继峰股份,1,策略3----macd红柱 yhz,202007112220
13,300106,西部牧业,1,策略3----macd红柱 yhz,202007112220
14,600685,中船防务,1,策略4----高于50(向上趋势中) d50,202007112220
15,600685,中船防务,1,策略3----macd红柱 yhz,202007112220
16,300265,通光线缆,1,策略3----macd红柱 yhz,202007112220
17,603458,勘设股份,1,策略3----macd红柱 yhz,202007112220
18,000505,京粮控股,1,策略4----高于50(向上趋势中) d50,202007112220
19,000505,京粮控股,1,策略3----macd红柱 yhz,202007112220
20,002205,国统股份,1,策略6----背驰6 bc6,202007112220
21,600107,美尔雅,1,策略4----高于50(向上趋势中) d50,202007112220
22,600107,美尔雅,1,策略3----macd红柱 yhz,202007112220
23,603018,中设集团,1,策略3----macd红柱 yhz,202007112220
24,002852,道道全,1,策略4----高于50(向上趋势中) d50,202007112220
25,002852,道道全,1,策略3----macd红柱 yhz,202007112220
26,601179,中国西电,1,策略3----macd红柱 yhz,202007112220
27,600983,惠而浦,1,策略1----背驰8 bc8,202007112220
28,600983,惠而浦,1,策略3----macd红柱 yhz,202007112220
29,600855,航天长峰,1,策略4----高于50(向上趋势中) d50,202007112220
30,600855,航天长峰,1,策略3----macd红柱 yhz,202007112220
31,000639,西王食品,1,策略3----macd红柱 yhz,202007112220
32,002768,国恩股份,1,策略3----macd红柱 yhz,202007112220
33,603728,鸣志电器,1,策略2----背驰9 bc9,202007112220
34,603728,鸣志电器,1,策略3----macd红柱 yhz,202007112220
35,603557,起步股份,1,策略3----macd红柱 yhz,202007112220
36,603555,贵人鸟,1,策略4----高于50(向上趋势中) d50,202007112220
37,603555,贵人鸟,1,策略3----macd红柱 yhz,202007112220
38,002529,海源复材,1,策略3----macd红柱 yhz,202007112220
39,000987,越秀金控,1,策略1----背驰8 bc8,202007112220
40,000987,越秀金控,1,策略4----高于50(向上趋势中) d50,202007112220
41,000987,越秀金控,1,策略3----macd红柱 yhz,202007112220
42,600127,金健米业,1,策略4----高于50(向上趋势中) d50,202007112220
43,600127,金健米业,1,策略3----macd红柱 yhz,202007112220
44,600191,华资实业,1,策略4----高于50(向上趋势中) d50,202007112220
45,600191,华资实业,1,策略3----macd红柱 yhz,202007112220
46,300116,坚瑞沃能,1,策略2----背驰9 bc9,202007112220
47,300116,坚瑞沃能,1,策略4----高于50(向上趋势中) d50,202007112220
48,300116,坚瑞沃能,1,策略3----macd红柱 yhz,202007112220
49,600410,华胜天成,1,策略4----高于50(向上趋势中) d50,202007112220
50,600410,华胜天成,1,策略3----macd红柱 yhz,202007112220
51,300661,圣邦股份,1,策略4----高于50(向上趋势中) d50,202007112220
52,300661,圣邦股份,1,策略3----macd红柱 yhz,202007112220
53,600628,新世界,1,策略6----背驰6 bc6,202007112220
54,600628,新世界,1,策略3----macd红柱 yhz,202007112220
55,600540,新赛股份,1,策略4----高于50(向上趋势中) d50,202007112220
56,600540,新赛股份,1,策略3----macd红柱 yhz,202007112220
57,300375,鹏翎股份,1,策略6----背驰6 bc6,202007112220
58,300375,鹏翎股份,1,策略3----macd红柱 yhz,202007112220
59,600078,澄星股份,1,策略3----macd红柱 yhz,202007112220
60,600246,万通地产,1,策略3----macd红柱 yhz,202007112220
61,002560,通达股份,1,策略4----高于50(向上趋势中) d50,202007112220
62,002560,通达股份,1,策略3----macd红柱 yhz,202007112220
63,300234,开尔新材,1,策略4----高于50(向上趋势中) d50,202007112220
64,300404,博济医药,1,策略3----macd红柱 yhz,202007112220
65,300030,阳普医疗,1,策略4----高于50(向上趋势中) d50,202007112220
66,300030,阳普医疗,1,策略3----macd红柱 yhz,202007112220
67,002838,道恩股份,1,策略3----macd红柱 yhz,202007112220
68,600511,国药股份,1,策略3----macd红柱 yhz,202007112220
69,603669,灵康药业,1,策略3----macd红柱 yhz,202007112220
